id;name;slug;description;icon;parent_id;display_order;is_active;is_featured;created_at;updated_at
1;アニメ・漫画;comics;アニメや漫画に関する情報交換の場。おすすめ作品や名シーン、最新情報を共有しましょう！;"<i class=""fas fa-book-open""></i>";"0";"0";1;"0";2025-11-10 08:44:08;2025-11-18 17:52:24
2;エンタメ;entertainment;エンタメ全般の情報交換の場。話題作の感想や推しの魅力、イベント情報を共有しましょう！;"<i class=""fa fa-desktop"" aria-hidden=""true""></i>";"0";"0";1;"0";2025-11-10 08:44:08;2025-11-11 16:11:39
3;お受験;entrance_exam;お受験に関する情報交換の場。学校選びや試験対策、体験談を共有しましょう！;"<i class=""fas fa-school""></i>";"0";"0";"0";"0";2025-11-10 08:44:08;2025-12-10 17:44:01
4;クレカ・電子マネー;creditcard;映画や音楽、ゲームなどエンタメ全般の情報交換の場です！;"<i class=""fas fa-credit-card""></i>";"0";12;1;1;2025-11-10 08:44:08;2025-11-18 18:25:31
5;ゲーム;game;ゲーム全般の情報交換の場。最新作のレビューや攻略法、おすすめタイトルを共有しましょう！;"<i class=""fas fa-gamepad""></i>";"0";"0";1;"0";2025-11-10 08:44:08;2025-11-11 16:11:39
6;ジャニーズ;familyclub;ジャニーズファンが集い、アンケートで情報交換や楽しく交流しましょう。なお、誰かに対する誹謗などは避けて、マナーを守って、ご利用ください。;"<i class=""fas fa-user""></i>";"0";"0";1;"0";2025-11-10 08:44:08;2025-11-11 16:11:39
7;ファッション;fashion;ファッションの情報交換の場。トレンドやコーディネートのアイデアを共有しましょう！;"<i class=""fas fa-tshirt""></i>";"0";"0";1;"0";2025-11-10 08:44:08;2025-11-11 16:11:39
8;ペット;pet;ペットに関する情報交換の場。飼育のコツやおすすめグッズ、かわいいエピソード。;"<i class=""fas fa-cat""></i>";"0";"0";"0";"0";2025-11-10 08:44:08;2025-11-19 17:43:18
10;住まい・不動産;living;マイホームや土地探し、リフォーム、住宅ローンなど住まい全般の情報交換の場です！;"<i class=""fas fa-home""></i>";"0";15;1;1;2025-11-10 08:44:08;2025-11-18 18:25:31
11;保険;hoken;家計に占める割合が大きいのが保険です。ガン保険、車の保険、地震・火災保険など。;"<i class=""fas fa-shield-alt""></i>";"0";"0";1;1;2025-11-10 08:44:08;2025-11-18 18:25:31
12;医療費;health;医療費や保険に関する情報交換の場。負担軽減の方法や助成制度などを共有しましょう！;"<i class=""fas fa-first-aid""></i>";"0";"0";1;"0";2025-11-10 08:44:08;2025-11-11 16:11:39
13;婚活・結婚;marriage;周りには聞きづらい婚活にかかる費用について相談しましょう。;"<i class=""fas fa-ring""></i>";"0";13;1;1;2025-11-10 08:44:08;2025-11-18 18:25:31
14;就職・転職;works;就職や転職活動に関する情報交換の場。企業情報や面接対策、キャリアの悩みを共有しましょう！;"<i class=""fas fa-building""></i>";"0";16;1;1;2025-11-10 08:44:08;2025-11-18 18:25:31
15;恋愛;love;恋愛の悩みや喜びを語り合える場、ここで新しい気づきや共感を見つけませんか？アンケートや活発な意見交換も歓迎です！;"<i class=""fa fa-heart"" aria-hidden=""true""></i>";"0";"0";1;"0";2025-11-10 08:44:08;2025-11-11 16:11:39
16;投資・貯蓄;money;投資や貯蓄について相談・意見交換する場です。株式・FXやNISA、仮想通貨、投資信託、先物取引から貯蓄方法や利率の良い銀行やネット証券など。;"<i class=""far fa-money-bill-alt""></i>";"0";11;1;1;2025-11-10 08:44:08;2025-11-18 18:25:31
17;整形・脱毛;plastic_surgery;美容整形や脱毛に関する情報交換の場です。施術のメリットやリスク、クリニック選びのポイント、体験談や費用の相場など。;"<i class=""far fa-hospital""></i>";"0";"0";1;"0";2025-11-10 08:44:08;2025-11-11 16:11:39
18;料理・グルメ;gourmet;料理やグルメスポットの情報をみんなでシェアしましょう！;"<i class=""fas fa-utensils""></i>";"0";"0";1;"0";2025-11-10 08:44:08;2025-11-11 16:11:39
19;旅行・ホテル;travel;旅行やホテルのおすすめ情報を共有する場です！;"<i class=""fas fa-plane""></i>";"0";"0";"0";"0";2025-11-10 08:44:08;2025-11-19 17:43:18
20;税金・年金;tax;"税金や年金に関する情報交換の場です。節税のテクニック、年金制度の理解、確定申告やインボイス制度など税務申告のヒントなど、みんなで共有しましょう！
";"<i class=""fas fa-yen-sign""></i>";"0";17;1;1;2025-11-10 08:44:08;2025-11-18 18:25:31
21;競馬・ギャンブル;gambling;ギャンブル好きの人集まれ！パチンコから競馬、競艇、カジノなどなんでもアンケートを受け付けます。ギャンブル依存から抜け出す方法なんかも大歓迎。;"<i class=""fas fa-dice-three""></i>";"0";"0";1;"0";2025-11-10 08:44:08;2025-11-11 16:11:39
22;美容・コスメ;beauty;美しさを追求する皆さんのための交流の場！スキンケア、メイク、ヘアケアなど、美容に関する情報交換や意見を気軽にシェアしましょう。;"<i class=""fas fa-female""></i>";"0";"0";1;"0";2025-11-10 08:44:08;2025-11-11 16:11:39
23;育児;family;育児や教育費に関する情報交換の場。節約術や助成金、教育プランを共有しましょう！;"<i class=""fa fa-child"" aria-hidden=""true""></i>";"0";14;1;1;2025-11-10 08:44:08;2025-11-18 18:25:31
24;雑談;ogiri;どこにも属さないネタ。;"<i class=""fas fa-smile""></i>";"0";10;1;1;2025-11-10 08:44:08;2025-11-18 18:25:31
25;ニュース・話題;news;最新ニュースや注目の話題を自由に意見交換する場です！;"<i class=""far fa-newspaper""></i>";"0";2;1;"0";2025-11-10 08:40:41;2025-11-11 16:11:39
