id;user_id;post_id;created_at
16;33;554340;2025-11-11 09:04:18
24;33;554778;2025-11-11 17:02:47
25;33;555082;2025-11-12 21:54:20
26;33;553447;2025-11-13 08:32:51
27;2;551717;2025-11-13 20:33:37
28;958;555278;2025-11-14 11:37:58
32;957;543235;2025-11-14 18:05:54
33;957;555356;2025-11-15 10:41:56
35;33;556620;2025-12-02 19:11:21
36;33;557795;2025-12-03 18:18:33
37;957;558773;2025-12-09 12:46:56
38;957;558680;2025-12-09 23:09:29
39;957;555278;2025-12-11 17:29:37
40;33;559360;2025-12-12 10:23:20
41;33;559330;2025-12-12 12:18:53
42;957;559360;2025-12-15 12:35:50
43;19;555356;2025-12-15 20:38:58
44;33;560375;2025-12-16 12:31:15
46;23;559401;2025-12-17 15:23:34
